step,loss
-1,8.205683774725115
0,8.847901940117149
1,7.845423853150281
2,7.874990136256061
3,7.472926986430376
4,7.373611961394309
5,7.1510514021815395
6,7.041808196975305
7,6.899442855483001
8,6.806349479062631
9,6.708681462952046
10,6.635424428707313
11,6.565891044276087
12,6.509990549195079
13,6.459469939053327
14,6.417615699644051
15,6.380588585611417
16,6.349158934685278
17,6.321592741734243
18,6.297883905334429
19,6.277178272342259
20,6.259232055601468
21,6.243380604555285
22,6.229360591663858
23,6.216831665506843
24,6.205571759083079
25,6.195350993097845
26,6.186014116676384
27,6.1774131006954125
28,6.169436346465422
29,6.161983761802195
30,6.15497662939944
31,6.148346627970461
32,6.142038146732628
33,6.136002039524557
34,6.130195893360453
35,6.124583629901375
36,6.1191372748007415
37,6.113835474853302
38,6.108659865975321
39,6.103591306795285
40,6.098611294530184
41,6.093704078710604
42,6.088856964569751
43,6.084059795789764
44,6.079304436032691
45,6.0745843178407455
46,6.069894128237948
47,6.065229671714056
48,6.060590494018549
49,6.056004363637332
50,6.0514422526871305
51,6.046893617026643
52,6.0423564030084265
53,6.037829088031562
54,6.0333104179554065
55,6.028799346927918
56,6.024295008643032
57,6.019796699640847
58,6.015303871311274
59,6.010816131316621
60,6.006333258612438
61,6.001855240052131
62,5.997382337795807
63,5.99291517274318
64,5.988454694254534
65,5.984001743982115
66,5.979556356744159
67,5.975117787347176
68,5.970685238453514
69,5.9662582745578945
70,5.961836801872118
71,5.957420931095935
72,5.953010856361797
73,5.948606763193255
74,5.944208758501062
75,5.939816822517835
76,5.93543078987223
77,5.931050366453656
78,5.926675179126358
79,5.922304855909389
80,5.917940246510535
81,5.913585110054118
82,5.90923420562699
83,5.904887138373343
84,5.900543888699017
85,5.896204531926533
86,5.891869193406546
87,5.88753798490187
88,5.8832109264768
89,5.878887891530136
90,5.8745686137331505
91,5.870252751080439
92,5.865939962412648
93,5.861629958785201
94,5.857322522551116
95,5.853017505003829
96,5.848714814677699
97,5.844414403636203
98,5.840116254948963
99,5.835820372346388
100,5.831526772135992
101,5.82723547718104
102,5.822946512688305
103,5.818659903552959
104,5.814375673004284
105,5.810093842285361
106,5.805814431088408
107,5.801537458473564
108,5.797262944023712
109,5.792990909034123
110,5.788721377589385
111,5.784454377437317
112,5.780189940617538
113,5.775928103840174
114,5.771668908633396
115,5.7674124012910255
116,5.763158632655153
117,5.758907657764261
118,5.754659535394842
119,5.75041432751679
120,5.746172098683802
121,5.741932915379977
122,5.737696845353332
123,5.7334639569759425
124,5.729234318683113
125,5.725007998551918
126,5.720785064086894
127,5.716565582290783
128,5.712349620143226
129,5.708137245784128
130,5.703928531360571
131,5.699723561431338
132,5.695522468844621
133,5.691325731064383
134,5.687138704884515
135,5.682963985252485
136,5.678794128156142
137,5.6746284025147045
138,5.670466781604484
139,5.666309314752265
140,5.662156069818959
141,5.658007121614265
142,5.65386254835192
143,5.649722430164114
144,5.6455868482667215
145,5.641455884353813
146,5.6373296200747935
147,5.633208136542075
148,5.629091513857402
149,5.624979830664992
150,5.620873163751885
151,5.616771587722994
152,5.612675174780004
153,5.60858399463029
154,5.604498114544199
155,5.600417599566728
156,5.5963425128744
157,5.5922729162528695
158,5.58820887065414
159,5.584150436780177
160,5.5800976756274165
161,5.576050648921383
162,5.572009419366652
163,5.567974050645065
164,5.563944607110561
165,5.5599211531641455
166,5.5559037523438315
167,5.5518924662316245
168,5.547887353345962
169,5.543888468231102
170,5.539895860950212
171,5.535909577123348
172,5.53192965854049
173,5.527956144255824
174,5.523989071975272
175,5.520028479510065
176,5.516074406085164
177,5.512126893341264
178,5.508185985931852
179,5.504251731668198
180,5.500324181207969
181,5.496403387316194
182,5.492489403766298
183,5.488582283992824
184,5.4846820796579925
185,5.480788839327354
186,5.4769026074494285
187,5.47302342378382
188,5.469151323335935
189,5.465286336762135
190,5.4614284911502775
191,5.457577811068941
192,5.453734319820368
193,5.449898040900224
194,5.446068999749588
195,5.442247225967991
196,5.438432756245843
197,5.434625638359577
198,5.4308259365917015
199,5.4270337386649015
200,5.423249163075812
201,5.419472362399668
202,5.4157035122963
203,5.41194277372803
204,5.408190233849679
205,5.4044458667246
206,5.400709552230487
207,5.396981132894616
208,5.393260460386435
209,5.38954741354015
210,5.385841897686185
211,5.382143837908431
212,5.378453172599389
213,5.374769849073619
214,5.371093821089453
215,5.367425047644959
216,5.3637634924620965
217,5.360109123758259
218,5.356461914078636
219,5.3528218400905665
220,5.349188882313595
221,5.345563024796496
222,5.341944254763888
223,5.33833256225607
224,5.334727939779299
225,5.331130381979058
226,5.327539885342529
227,5.323956447932437
228,5.3203800691526775
229,5.316810749543099
230,5.313248490601334
231,5.309693294628205
232,5.306145164593658
233,5.302604104020465
234,5.299070116882848
235,5.2955432075178175
236,5.2920233805471515
237,5.288510640808121
238,5.285004993291814
239,5.281506443087406
240,5.278014995331621
241,5.274530655162133
242,5.271053427674642
243,5.267583317882452
244,5.264120330678293
245,5.260664470798011
246,5.257215742785517
247,5.253774150958843
248,5.250339699377259
249,5.246912391808893
250,5.243492231699263
251,5.240079222140058
252,5.236673365838923
253,5.233274665089275
254,5.229883121741171
255,5.226498737172154
256,5.223121512258857
257,5.21975144734888
258,5.216388542232873
259,5.2130327961170035
260,5.20968420759591
261,5.206342774626028
262,5.203008494500328
263,5.199681363824662
264,5.1963613784967855
265,5.1930485336896615
266,5.189742823839625
267,5.186444242641688
268,5.183152783052682
269,5.1798684373037345
270,5.176591196922483
271,5.1733210527654006
272,5.170057995059643
273,5.166802013453082
274,5.163553097071111
275,5.160311234577537
276,5.157076414236809
277,5.153848623974626
278,5.150627851433616
279,5.1474140840206655
280,5.144207308942647
281,5.1410075132273905
282,5.1378146837269405
283,5.1346288071003094
284,5.131449869774097
285,5.128277857879411
286,5.125112757165814
287,5.121954552894095
288,5.11880322971225
289,5.115658771521528
290,5.1125211613418475
291,5.10939038118734
292,5.106266411964037
293,5.1031492334004005
294,5.1000388240190775
295,5.096935161154127
296,5.093838221013696
297,5.090747978782507
298,5.08766440875604
299,5.084587484494266
300,5.081517178984352
301,5.078453464800813
302,5.075396314254959
303,5.0723456995277205
304,5.069301592782466
305,5.066263966256871
306,5.063232792334675
307,5.06020804359898
308,5.057189692869941
309,5.054177713229309
310,5.051172078034665
311,5.048172760925542
312,5.045179735823914
313,5.042192976930167
314,5.039212458716739
315,5.036238155919701
316,5.03327004352971
317,5.030308096782705
318,5.027352291150691
319,5.024402602333268
320,5.021459006249647
321,5.018521479031729
322,5.015589997017969
323,5.012664536748292
324,5.009745074959858
325,5.006831588583867
326,5.00392405474315
327,5.001022450750682
328,4.998126754108919
329,4.995236942509669
330,4.992352993835182
331,4.989474886159467
332,4.986602597750668
333,4.9837361070740975
334,4.980875392796154
335,4.9780204337891965
336,4.975171209137602
337,4.97232769814542
338,4.969489880345808
339,4.966657735513243
340,4.96383124367969
341,4.961010385156047
342,4.958195140562327
343,4.955385490870983
344,4.952581417472021
345,4.949782902275252
346,4.946989927878718
347,4.944202477863005
348,4.941420537339551
349,4.938644094054184
350,4.935873140825278
351,4.933107681576755
352,4.930347748414026
353,4.927593456210088
354,4.924845153584588
355,4.922103363049349
356,4.919367880704492
357,4.916638141718418
358,4.913913878784344
359,4.911194988754401
360,4.9084814227368065
361,4.9057731513766605
362,4.903070153594751
363,4.9003724124026755
364,4.897679913134746
365,4.894992642613
366,4.892310588707005
367,4.889633740071805
368,4.886962085965859
369,4.8842956161027224
370,4.881634320511766
371,4.878978189396176
372,4.876327212982413
373,4.873681381361272
374,4.871040684323758
375,4.868405111198519
376,4.865774650699708
377,4.8631492907951355
378,4.860529018603917
379,4.857913820331444
380,4.855303681245584
381,4.8526985856948155
382,4.850098517164319
383,4.847503458363549
384,4.844913391335904
385,4.842328297581068
386,4.839748158181158
387,4.837172953923068
388,4.8346026654122305
389,4.832037273174395
390,4.8294767577450495
391,4.826921099746255
392,4.824370279952841
393,4.821824279349314
394,4.819283079179626
395,4.816746660990935
396,4.81421500667298
397,4.811688098493225
398,4.809165919128136
399,4.806648451690389
400,4.804135679750832
401,4.80162758735423
402,4.799124159026668
403,4.79662537977199
404,4.794131235054488
405,4.791641710762988
406,4.789156793152509
407,4.78667646875791
408,4.784200724275548
409,4.781729546410178
410,4.779262921687764
411,4.7768008362402234
412,4.774343275574561
413,4.771890224345342
414,4.769441666155104
415,4.766997583408256
416,4.7645579572405525
417,4.76212276753725
418,4.759691993040282
419,4.757265611531734
420,4.754843600071543
421,4.752425935261052
422,4.7500125935060815
423,4.747603551257737
424,4.745198785216045
425,4.742798272490053
426,4.740401990713599
427,4.738009918120477
428,4.73562203358533
429,4.733238316637325
430,4.730858747453363
431,4.728483306836923
432,4.726111976187515
433,4.723744737464438
434,4.721381573148083
435,4.719022466200326
436,4.7166674000259405
437,4.714316358435572
438,4.711969325610988
439,4.7096262860727895
440,4.707287224651013
441,4.704952126457821
442,4.702620976863433
443,4.70029376147387
444,4.6979704661113
445,4.695651076796346
446,4.693335579732335
447,4.691023961291379
448,4.688716208001943
449,4.686412306537963
450,4.684112243709294
451,4.681816006453349
452,4.679523581827613
453,4.677234957003545
454,4.674950119260923
455,4.672669055983218
456,4.67039175465351
457,4.668118202851037
458,4.665848388248334
459,4.663582298608754
460,4.66131992178426
461,4.659061245713915
462,4.656806258422185
463,4.654554948017713
464,4.652307302692331
465,4.650063310720014
466,4.647822960456062
467,4.645586240336362
468,4.643353138876526
469,4.641123644671281
470,4.6388977463936705
471,4.636675432794338
472,4.634456692700707
473,4.632241515016127
474,4.630029888719001
475,4.627821802861849
476,4.625617246570233
477,4.6234162090417605
478,4.621218679544871
479,4.619024647417721
480,4.616834102066874
481,4.614647032966095
482,4.612463429654996
483,4.6102832817377015
484,4.608106578881576
485,4.605933310815817
486,4.603763467330198
487,4.601597038273753
488,4.5994340135535285
489,4.597274383133437
490,4.595118137033046
491,4.592965265326689
492,4.590815758142337
493,4.588669605660864
494,4.586526798115352
495,4.584387325790251
496,4.582251179021147
497,4.580118348194233
498,4.57798882374607
499,4.575862596163558
500,4.573739655983931
501,4.571619993794861
502,4.569503600234833
503,4.567390465993466
504,4.565280581812174
505,4.563173938484654
506,4.56107052685775
507,4.558970337832225
508,4.556873362363776
509,4.554779591463996
510,4.552689016201423
511,4.550601627702763
512,4.548517417154026
513,4.546436375801786
514,4.544358494954443
515,4.542283765983513
516,4.540212180325007
517,4.538143729480634
518,4.536078405019249
519,4.534016198578127
520,4.531957101864342
521,4.52990110665606
522,4.527848204803896
523,4.525798388232179
524,4.523751648940335
525,4.521707979004114
526,4.519667370576941
527,4.517629815891153
528,4.51559530725926
529,4.513563837075404
530,4.511535397816309
531,4.509509982042844
532,4.507487582401138
533,4.505468191623982
534,4.503451802531895
535,4.501438408034683
536,4.499428001132456
537,4.4974205749170135
538,4.495416122573072
539,4.493414637379519
540,4.491416112710517
541,4.489420542036667
542,4.4874279189260875
543,4.485438237045384
544,4.4834514901603395
545,4.481467672136803
546,4.479486776940822
547,4.477508798639183
548,4.475533731398986
549,4.473561569487282
550,4.471592307270066
551,4.469625939210795
552,4.467662459868242
553,4.465701863893744
554,4.463744146027387
555,4.4617893010937415
556,4.459837323996064
557,4.45788820970992
558,4.455941953275305
559,4.453998549787765
560,4.452057994388209
561,4.450120282251593
562,4.448185408574316
563,4.446253368560675
564,4.4443241574083245
565,4.442397770293091
566,4.440474202353231
567,4.438553448673739
568,4.4366355042706465
569,4.434720364076096
570,4.432808022924357
571,4.4308984755392675
572,4.428991716523369
573,4.427087740349281
574,4.425186541353284
575,4.423288113731547
576,4.421392451538923
577,4.419499548690246
578,4.417609398964374
579,4.415721996010157
580,4.413837333354708
581,4.411955404413321
582,4.410076202500642
583,4.408199720842878
584,4.406325952590715
585,4.404454890832378
586,4.402586528606844
587,4.40072085891666
588,4.398857874740396
589,4.396997569044448
590,4.395139934794011
591,4.393284964963382
592,4.3914326525452125
593,4.389582990559031
594,4.387735972058858
595,4.385891590139857
596,4.384049837944331
597,4.382210708666918
598,4.380374195558912
599,4.378540291932207
600,4.376708991162273
601,4.374880286690906
602,4.373054172028222
603,4.371230640754311
604,4.369409686520325
605,4.367591303049433
606,4.365775484137117
607,4.363962223651412
608,4.362151515532689
609,4.360343353793403
610,4.358537732517313
611,4.3567346458589205
612,4.354934088042379
613,4.353136053360503
614,4.3513405361735
615,4.349547530907827
616,4.347757032054654
617,4.3459690341686805
618,4.344183531866441
619,4.34240051982494
620,4.34061999278016
621,4.338841945525476
622,4.337066372910166
623,4.335293269837912
624,4.3335226312652795
625,4.33175445220026
626,4.329988727700831
627,4.328225452873446
628,4.326464622871821
629,4.324706232895342
630,4.322950278187965
631,4.321196754036779
632,4.319445655770858
